t_s,cycle,state,current_A
0.001,0,on,9.236354
1.248,0,on,9.232749
2.287,0,on,9.230263
3.328,0,on,9.226501
4.368,0,on,9.224222
5.408,0,off,0.004278
6.447,0,off,0.004705
7.488,0,off,0.004557
8.527,0,off,0.004379
9.568,0,off,0.004399
10.609,1,on,9.231367
11.647,1,on,9.223346
12.688,1,on,9.219311
13.727,1,on,9.216933
14.767,1,on,9.214658
15.808,1,off,0.004144
16.848,1,off,0.004098
17.888,1,off,0.004592
18.929,1,off,0.004463
19.967,1,off,0.004035
21.008,2,on,9.222404
22.048,2,on,9.214252
23.087,2,on,9.210320
24.127,2,on,9.207933
25.168,2,on,9.205819
26.208,2,off,0.004494
27.247,2,off,0.004196
28.287,2,off,0.004166
29.328,2,off,0.003999
30.366,2,off,0.004333
31.407,3,on,9.214690
32.447,3,on,9.206371
33.487,3,on,9.202333
34.527,3,on,9.200034
35.567,3,on,9.197839
36.608,3,off,0.004556
37.647,3,off,0.004878
38.688,3,off,0.004904
39.728,3,off,0.004587
40.767,3,off,0.005232
41.808,4,on,9.207357
42.847,4,on,9.199104
43.887,4,on,9.194981
44.927,4,on,9.192847
45.967,4,on,9.190688
47.008,4,off,0.005064
48.047,4,off,0.005416
49.087,4,off,0.005499
50.127,4,off,0.004975
51.167,4,off,0.005271
52.207,5,on,9.200812
53.247,5,on,9.191748
54.287,5,on,9.188569
55.328,5,on,9.186358
56.367,5,on,9.184372
57.407,5,off,0.004535
58.447,5,off,0.005061
59.487,5,off,0.004543
60.527,5,off,0.004551
61.568,5,off,0.005004
62.608,6,on,9.194597
63.647,6,on,9.186458
64.686,6,on,9.182345
65.728,6,on,9.180055
66.767,6,on,9.178204
67.808,6,off,0.005102
68.847,6,off,0.004844
69.887,6,off,0.004842
70.928,6,off,0.004862
71.967,6,off,0.004693
73.008,7,on,9.188744
74.047,7,on,9.180648
75.086,7,on,9.176786
76.127,7,on,9.174628
77.167,7,on,9.172662
78.208,7,off,0.004994
79.247,7,off,0.004983
80.287,7,off,0.004631
81.326,7,off,0.005253
82.367,7,off,0.004710
83.407,8,on,9.183172
84.446,8,on,9.175311
85.487,8,on,9.171482
86.526,8,on,9.169240
87.567,8,on,9.167447
88.607,8,off,0.004967
89.647,8,off,0.005757
90.688,8,off,0.005102
91.727,8,off,0.005178
92.768,8,off,0.004738
93.808,9,on,9.178102
94.848,9,on,9.170297
95.887,9,on,9.166265
96.927,9,on,9.164298
97.967,9,on,9.162457
99.006,9,off,0.004614
100.047,9,off,0.005030
101.087,9,off,0.004918
102.127,9,off,0.004772
103.167,9,off,0.005023
104.207,10,on,9.173378
105.247,10,on,9.165331
106.288,10,on,9.161614
107.327,10,on,9.159414
108.368,10,on,9.157812
109.407,10,off,0.004703
110.447,10,off,0.004804
111.486,10,off,0.004688
112.527,10,off,0.004480
113.568,10,off,0.004740
114.607,11,on,9.168835
115.647,11,on,9.160787
116.687,11,on,9.156784
117.727,11,on,9.154834
118.766,11,on,9.152984
119.808,11,off,0.005304
120.847,11,off,0.004937
121.887,11,off,0.004993
122.927,11,off,0.005132
123.966,11,off,0.005240
125.006,12,on,9.164242
126.046,12,on,9.156329
127.087,12,on,9.152688
128.126,12,on,9.150620
129.166,12,on,9.149004
130.207,12,off,0.004816
131.247,12,off,0.004711
132.287,12,off,0.005410
133.326,12,off,0.005279
134.367,12,off,0.005034
135.406,13,on,9.160307
136.447,13,on,9.152385
137.486,13,on,9.148481
138.527,13,on,9.146331
139.566,13,on,9.144673
140.606,13,off,0.004785
141.646,13,off,0.004778
142.687,13,off,0.004938
143.726,13,off,0.004862
144.766,13,off,0.004555
145.808,14,on,9.156276
146.848,14,on,9.147334
147.886,14,on,9.144259
148.927,14,on,9.142406
149.966,14,on,9.140742
151.007,14,off,0.005099
152.047,14,off,0.005067
153.086,14,off,0.004871
154.127,14,off,0.004811
155.166,14,off,0.004826
156.207,15,on,9.152574
157.247,15,on,9.144525
158.287,15,on,9.140577
159.326,15,on,9.138717
160.366,15,on,9.137218
161.406,15,off,0.005625
162.447,15,off,0.005714
163.486,15,off,0.005973
164.526,15,off,0.005759
165.566,15,off,0.005131
166.607,16,on,9.148663
167.646,16,on,9.140752
168.688,16,on,9.136624
169.726,16,on,9.134867
170.767,16,on,9.133161
171.807,16,off,0.005253
172.847,16,off,0.005251
173.886,16,off,0.005191
174.927,16,off,0.005302
175.966,16,off,0.004855
177.007,17,on,9.144965
178.047,17,on,9.137272
179.086,17,on,9.133149
180.127,17,on,9.131505
181.166,17,on,9.129871
182.207,17,off,0.005482
183.246,17,off,0.005403
184.287,17,off,0.005724
185.326,17,off,0.005578
186.366,17,off,0.005304
187.407,18,on,9.141494
188.446,18,on,9.133692
189.486,18,on,9.129802
190.527,18,on,9.127934
191.566,18,on,9.126397
192.606,18,off,0.005778
193.647,18,off,0.005861
194.686,18,off,0.004874
195.726,18,off,0.005078
196.766,18,off,0.005885
197.807,19,on,9.138203
198.846,19,on,9.130280
199.886,19,on,9.126297
200.926,19,on,9.124640
201.966,19,on,9.122890
203.007,19,off,0.005073
204.047,19,off,0.005014
205.087,19,off,0.004818
206.127,19,off,0.005209
207.167,19,off,0.004932
